store_id;storetype_id;store_size;city_id_old;country_id;city_code
S0036;ST04;21;C001;TURKEY;Denizli
S0005;ST04;19;C001;TURKEY;Denizli
S0104;ST04;47;C002;TURKEY;Ankara
S0068;ST03;14;C003;TURKEY;?zmir
S0086;ST03;12;C003;TURKEY;?zmir
S0038;ST01;63;C004;TURKEY;Bursa
S0012;ST04;28;C005;TURKEY;Antalya
S0141;ST03;12;C005;TURKEY;Antalya
S0092;ST04;23;C005;TURKEY;Antalya
S0136;ST03;12;C005;TURKEY;Antalya
S0109;ST04;20;C005;TURKEY;Antalya
S0142;ST04;31;C006;TURKEY;Konya
S0094;ST04;45;C006;TURKEY;Konya
S0030;ST03;13;C006;TURKEY;Konya
S0002;ST04;39;C007;TURKEY;Adana
S0045;ST04;17;C008;TURKEY;Sanl?urfa
S0122;ST04;23;C008;TURKEY;Sanl?urfa
S0023;ST04;31;C008;TURKEY;Sanl?urfa
S0088;ST04;20;C009;TURKEY;Gaziantep
S0083;ST04;23;C010;TURKEY;Mersin
S0132;ST04;31;C011;TURKEY;Diyarbak?r
S0131;ST04;22;C012;TURKEY;Kayseri
S0091;ST04;19;C013;TURKEY;Samsun
S0041;ST03;8;C013;TURKEY;Samsun
S0095;ST02;44;C014;TURKEY;Istanbul
S0055;ST04;24;C014;TURKEY;Istanbul
S0099;ST03;14;C014;TURKEY;Istanbul
S0059;ST03;15;C014;TURKEY;Istanbul
S0097;ST04;45;C014;TURKEY;Istanbul
S0007;ST03;16;C014;TURKEY;Istanbul
S0107;ST04;19;C014;TURKEY;Istanbul
S0052;ST04;17;C014;TURKEY;Istanbul
S0016;ST03;11;C014;TURKEY;Istanbul
S0089;ST03;18;C014;TURKEY;Istanbul
S0120;ST03;16;C014;TURKEY;Istanbul
S0080;ST03;14;C014;TURKEY;Istanbul
S0014;ST03;14;C014;TURKEY;Istanbul
S0073;ST04;19;C014;TURKEY;Istanbul
S0020;ST04;36;C014;TURKEY;Istanbul
S0085;ST01;60;C014;TURKEY;Istanbul
S0072;ST04;29;C014;TURKEY;Istanbul
S0067;ST04;16;C014;TURKEY;Istanbul
S0076;ST03;11;C014;TURKEY;Istanbul
S0062;ST04;47;C014;TURKEY;Istanbul
S0071;ST04;32;C014;TURKEY;Istanbul
S0026;ST04;41;C014;TURKEY;Istanbul
S0015;ST04;19;C014;TURKEY;Istanbul
S0126;ST04;34;C014;TURKEY;Istanbul
S0003;ST03;17;C014;TURKEY;Istanbul
S0077;ST03;12;C014;TURKEY;Istanbul
S0010;ST04;17;C014;TURKEY;Istanbul
S0022;ST04;16;C014;TURKEY;Istanbul
S0058;ST04;17;C014;TURKEY;Istanbul
S0143;ST03;13;C014;TURKEY;Istanbul
S0039;ST03;15;C014;TURKEY;Istanbul
S0050;ST04;31;C014;TURKEY;Istanbul
S0056;ST04;42;C015;TURKEY;Eski?ehir
S0108;ST04;35;C016;TURKEY;Adapazar?
S0040;ST04;42;C017;TURKEY;Kahramanmaras
S0046;ST04;26;C017;TURKEY;Kahramanmaras
S0102;ST04;27;C018;TURKEY;Erzurum
S0032;ST03;14;C019;TURKEY;Van
S0061;ST04;35;C019;TURKEY;Van
