S0141;S0120;S0077;S0143;S0068;S0039;S0016;S0080
419,1534669;471,2023753;538,5382818;526,1865135;671,6997046;769,2300077;822,9440994;1833,231082
391,5405522;433,6117304;510,2011322;484,3945514;592,2559812;700,4762006;765,3174739;1716,791589
426,9908537;480,0610222;558,410409;543,5573764;703,6500476;790,417657;848,3665614;1883,45828
451,7772918;517,4916137;593,4541935;590,4001102;790,120549;862,0184317;913,7156745;2020,605608
437,7339452;496,4807473;575,3745837;560,7188874;731,1799609;813,4433725;876,6502302;1931,134712
435,8488604;502,6532027;568,012567;550,0962369;705,8378584;793,6029124;867,2387688;1894,783063
444,8000434;502,4877729;571,658765;557,3386998;722,9490794;810,3681567;875,7677644;1914,162833
441,8813384;493,0470475;568,9695385;559,7860147;714,8986309;809,196436;861,322066;1903,143301
455,9712966;513,0598971;588,9862308;584,8702375;766,8981892;848,4260295;893,0105868;1967,309674
